[2018-07-25 20:08:03] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:03] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:03] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:03] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:04] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:04] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:04] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:04] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:04] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:04] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:04] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:04] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:04] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:04] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:04] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:04] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:04] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:05] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:05] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:05] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:05] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:05] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:05] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:05] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:05] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:05] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:05] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
